67.771,0.001,0.002,0.004,-1.835,-0.016
35.324,-28.367,61.541,-47.670,-46.497,38.240
-34.474,36.761,-8.381,-96.396,-93.000,61.001
-34.473,31.516,-37.933,-86.172,-92.000,97.215
31.074,27.073,-31.409,-92.162,-41.075,94.457
29.997,26.246,5.240,-58.286,-52.046,46.516
29.997,70.684,-1.033,-43.537,-76.854,13.846
26.014,84.611,-37.166,-53.569,-63.598,32.966
-13.218,82.114,-24.799,-77.572,-93.000,37.307
-26.023,70.157,30.994,-100.282,-94.000,-7.091
-57.273,85.238,-13.464,-123.336,-90.000,19.934
-47.155,92.059,-33.606,-107.173,-93.000,35.385
-48.330,37.728,-8.327,-99.806,-91.000,55.557
-23.988,8.562,33.455,-86.867,-87.220,44.296
22.521,7.965,34.153,-50.373,-55.368,31.242
22.520,0.789,-21.764,-113.018,-43.521,117.146
43.957,18.477,7.046,-12.057,-24.362,8.071
19.718,34.056,33.737,-56.770,-77.892,14.828
62.122,32.165,37.934,-13.201,-71.065,0.853
124.947,40.323,20.292,53.962,-72.203,-26.984
124.947,11.834,-21.883,97.614,-50.970,-106.181
77.336,-0.499,-8.371,161.815,-8.822,-165.648
77.336,-0.845,16.321,9.911,-16.188,-13.158
77.336,63.958,23.417,2.753,-87.861,-3.735
81.542,78.261,-17.541,7.489,-72.739,-4.182
61.869,86.904,-38.872,-13.900,-60.819,9.006
108.706,36.625,-21.285,53.463,-43.596,-52.773
88.857,-7.601,33.947,15.058,-40.300,-17.818
55.801,55.600,-53.208,-51.863,-23.174,52.957
55.802,97.480,-60.801,-23.300,-51.492,18.466
27.048,70.429,11.762,-46.275,-86.000,5.309
111.834,65.431,31.148,37.579,-88.000,0.803
111.834,-8.953,-2.382,101.474,-38.132,-109.164
125.913,-1.206,-9.471,96.015,-51.698,-105.292
125.913,47.691,32.053,51.520,-85.544,-11.225
144.275,57.575,3.592,71.146,-82.110,-30.382
58.046,56.170,7.112,-18.064,-66.400,4.816
58.046,23.593,-13.630,-72.035,-14.792,65.418
58.046,20.107,-29.427,-113.142,-18.009,111.577
-30.784,-12.709,5.409,-85.996,-82.000,94.887
-30.781,-3.463,-26.399,-80.495,-93.800,117.946
43.707,6.375,-36.528,-128.051,-40.628,133.856
43.707,-2.592,19.635,-61.018,-35.895,53.611
115.492,-17.661,32.152,71.253,-43.721,-69.736
115.493,17.164,52.227,42.332,-76.484,-16.920
102.809,45.564,0.364,35.781,-54.003,-27.211
48.145,50.815,-9.680,-35.883,-49.339,23.015
48.145,36.298,-45.921,-104.593,-27.357,104.117
74.196,10.468,-10.352,-10.048,-2.123,6.857
61.277,23.384,-43.111,-142.153,-21.998,141.500
61.277,26.757,-21.791,-92.587,-6.122,88.946
61.277,31.774,9.916,-18.870,-45.305,10.788
114.445,30.631,11.768,60.189,-64.025,-43.069
114.445,16.597,-17.250,87.974,-51.314,-92.435
69.559,14.162,-14.206,73.039,-6.715,-76.343
69.558,37.094,15.800,7.843,-55.159,-7.913
